id,title,location,colors,focus_key,focus_label,duration,description,extra,optional
pyramiden-training,Pyramiden Training,Kletterhalle,gelb,,,45+ min,Startend bei 2/3 Grad unter Rotpunktniveau wird die Schwierigkeit immer weiter erhöht. Bei Sturz sofort ablassen; eine Schwierigkeit so lange wiederholen bis sie geschafft ist. Ziel: möglichst hohe Schwierigkeit erreichen. Aufwärmen kann integriert werden.,Chalkbeutel bleibt unten,false
leichte-routen-spulen,Leichte Routen spulen,Kletterhalle,grün,,,60+ min,"Jedes Kind klettert 2 Routen (2/3 Grad unter Onsightniveau) dreimal – insgesamt 6-mal. Beim Wechsel max. 1 Minute Pause. Im Vorstieg möglich; ggf. erstes Mal vorsteigen, dann zweimal nachsteigen ohne umzubinden.",Chalkbeutel bleibt unten · möglichst schnell klettern,false
alle-routen-an-einem-seil,Alle Routen an einem Seil,Kletterhalle,grün|gelb,,,30+ min,"Alle Routen an einem Seil klettern (mind. 3 Routen). Bei Sturz direkt ablassen, keine Pause zwischen den Routen. Kinder überlegen selbst die beste Reihenfolge – taktischer Aspekt.",,false
boulderhalle-traversieren,Boulderhalle traversieren,Boulderhalle,grün,,,20+ min,Nur bei relativ leerer Halle! Möglichst langen Abschnitt traversieren (z. B. um die Mittelinsel) ohne Bodenkontakt. Bei anderen Kletterern in der Wand warten. Kinder auf verschiedene Stellen aufteilen.,Füße leise setzen · Hände/Füße nur einmal setzen (Position nicht verbessern),false
tschechentraining,Tschechentraining,Kletterhalle,gelb,,,,"Route auf Onsightniveau einmal klettern, dann schnell ablassen und sofort wieder einsteigen. So lange wiederholen bis das Kind stürzt. Route durchgehend ähnlich schwer. Mind. 3 Routen pro Person. Nur im Vorstieg.",,false
4-4,4×4,Boulderhalle,gelb,,,,"4 definierte Boulder ohne Pause nacheinander klettern. Nach jedem Top direkt zum nächsten. Danach 2,5–4 min Pause (unvollständige Erholung). 4-mal wiederholen = 16 Boulder gesamt. Boulder schwierig, aber 4 hintereinander gerade noch machbar.",,false
projekte-finden-ausbouldern,Projekte finden / ausbouldern,Kletterhalle,rot,,,,"Kinder finden neue Projekte: Routen über dem aktuellen Rotpunktlevel, aber realistisch. Diese ausbouldern, so dass möglichst jeder Zug einmal geschafft wird. Pausen erlaubt. Falls Route zu schwer/leicht – Auswahl ändern.",,false
projektieren,Projektieren,Kletterhalle,gelb|rot,,,,"Gute Versuche in Projekten machen (bereits ausgebouldert oder knapp über Flashniveau). Beim ersten Sturz ablassen – kein Ausbouldern, Fokus auf Versuchen. Mehrere Versuche mit genug Pause. Kinder über Fehler sprechen lassen.",,false
onsight-training,Onsight Training,Kletterhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,"Neue Routen (Onsight- bis Rotpunktgrad) werden geonsightet. Kinder setzen sich vor dem Einstieg mit der Route auseinander: in Paaren Schlüsselstellen, Pausenstellen und Clipp-Positionen identifizieren, Beta überlegen. Nach dem Onsight besprechen.",,false
freies-klettern-bouldern-mit-technikaufgabe,Freies Klettern / Bouldern mit Technikaufgabe,Kletterhalle / Boulderhalle,lila,,,,"Freies Klettern/Bouldern mit Zusatzaufgabe. Routen/Boulder nicht zu schwer – Fokus auf der Aufgabe. Aufgaben regelmäßig wechseln; kann auch ins verlängerte Aufwärmen integriert werden. Beispiele: Füße leise setzen, nicht nachgreifen/-treten, Fußwechsel, 3 sek innehalten vor jedem Griff, nur eingedreht klettern.",,false
flash-the-set,Flash the Set,Boulderhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,Neues Boulderset wie Wettkampf behandeln – pro Boulder nur ein Versuch. Ziel: möglichst viele Boulder flashen. Gruppenarbeit ausdrücklich erlaubt: Kinder wechseln sich ab und lernen voneinander. Auf ausreichend Pause achten.,,false
schnell-klettern,Schnell Klettern,Kletterhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,Schwierige Routen (Onsightniveau oder knapp darunter) so schnell wie möglich klettern. Bei Sturz direkt wieder an die Wand. Optional: Kinder stoppen sich gegenseitig (nur bei gleich starken Paaren sinnvoll).,,false
schnell-bouldern,Schnell Bouldern,Boulderhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,5 vorher bestimmte Boulder (ca. Flashniveau) so schnell wie möglich klettern. Optional gegenseitiges Stoppen – nur bei ähnlich starken Paaren sinnvoll.,,false
dauerklettern,Dauerklettern,Boulderhalle,grün,,,,Kinder bouldern 5–10 Minuten am Stück ohne Bodenkontakt. Immer in Bewegung bleiben – Pausenpositionen sind verboten. Nicht an einer Platte durchführen.,,false
von-insel-zu-insel,Von Insel zu Insel,Kletterhalle,grün|gelb,fluessiger-klettern,Flüssiger Klettern,,"Jedes Kind wählt eine schwierige, machbare Route. 3–5 Atempositionen definieren. Zwischen diesen muss die Luft angehalten werden; an den Positionen das weitere Vorgehen planen. Danach Route wiederholen – ohne Luftanhalten, aber gleicher Rhythmus.",,false
routenlesen,Routenlesen,Boulderhalle,lila,fluessiger-klettern,Flüssiger Klettern,,Boulder 2–3-mal klettern und Bewegungen bewusst einprägen. Zwischen Versuchen den Boulder immer im Geiste durchgehen. Dann den Boulder blind klettern. Ein anderes Kind kontrolliert. Mehrfach wiederholbar.,,false
krafttraining,Krafttraining,Kletterhalle / Boulderhalle,rot,,,20–30 min,"Zirkeltraining mit so vielen Stationen, dass immer 2 Kinder pro Station sind – gegenseitig anfeuern, kontrollieren und Hilfestellungen geben. Für Kinder: mehr Wiederholungen, 1–3 Sets à 8–15 WH. Inspiration: DAV-Trainingsskript S. 64–66 „Balance of Power"" (ggf. leichter anpassen).",,false
boulder-verbinden,Boulder verbinden,Boulderhalle,gelb,,,,"4–5 mittelschwere Boulder ohne Bodenkontakt hintereinander klettern. Zum Abklettern zur nächsten Startposition alle Griffe erlaubt. Herausforderung: mehrere gleichwertige Sets finden, damit viele Kinder gleichzeitig an der Wand sein können.",,false
boulder-shootout,Boulder Shootout,Boulderhalle,rot,,,,"Gruppen ähnlich starker Kletterer (2–3 pro Gruppe). Jedes Kind wählt 2–3 Boulder – macht 6 pro Gruppe. Gruppe geht von Boulder zu Boulder; 2 Versuche pro Kind. Wer am weitesten kommt: 1 Punkt (bei Gleichstand je 0,5). Kinder wählen taktisch nach ihren Stärken.",,false
dyno-route,Dyno Route,Kletterhalle,gelb,dynamische-bewegungen,Dynamische Bewegungen,,Im Toprope eine einfache Route klettern und möglichst viele dynamische Züge / Sprünge einbauen. Idealerweise nur mit Sprüngen vorwärtsbewegen. Route sollte möglichst viele Henkel haben. Erst ab 3 m Höhe springen.,,false
dynamisch-vs-statisch,Dynamisch vs. Statisch,Boulderhalle,gelb,dynamische-bewegungen,Dynamische Bewegungen,,"3–4 mittelschwere Boulder erst so statisch wie möglich, dann so dynamisch wie möglich klettern. Gerne in Gruppen; Kinder diskutieren ob es noch statischer oder dynamischer geht. Ggf. vorab Begriffe klären.",,false
pausenpositionen-finden,Pausenpositionen finden,Boulderhalle,gelb,,,,"Wandteil vorgeben; alle Kinder suchen sich die beste Pausenposition. Dann Wettkampf: wer hält am längsten / schafft X Minuten? Keine zu einfachen Positionen – keine No-Hand-Rests, am besten überhängender Wandteil.",,false
boulderwettkampf,Boulderwettkampf,Boulderhalle,rot,,,60–80 min,"Intensives Wettkampftraining das den Wettkampfgedanken und das Bewegungsrepertoire schult. Voraussetzung: 3–5 Kletterer auf ähnlichem Niveau.<br><br>Jeder definiert 10–15 min vom Boden aus 1–2 Boulder (4–8 Züge) ohne sie vorab zu probieren. Der Eröffner erklärt seinen Boulder und muss den ersten Versuch machen; alle anderen dürfen ebenfalls genau einen Versuch machen.<br><br><strong>Punkte bei geschafftem Boulder:</strong> Nur Eröffner: +5 | +1 Kletterer: 0/+5 | +2: -1/+4 | +3: -2/+3 | +4: -3/+2<br><strong>Punkte bei nicht geschafftem Boulder:</strong> Nur Eröffner: -5 | +1: -6/+10 | +2: -7/+9 | +3: -8/+8 | +4: -9/+9<br><br>Am besten schneidet ab, wer einen Boulder definiert, den man als Einziger klettern kann.",Eröffner muss Start- und Endgriff klar definieren,false
sturztraining,Sturztraining,Kletterhalle,lila,,,30 min,"Ziel: Sturzangst abbauen und eine Routine aufbauen, damit Sturzangst gar nicht erst aufkommt.<br><br>Am einfachsten bei jeder Auf- oder Abwärmroute: vor dem Clippen des Umlenkers in den letzten Haken springen. Sicherheit zuerst – man darf nirgendwo anschlagen und der Sturz darf nicht am Boden enden.<br><br><strong>Steigerung in Schritten:</strong> Zunächst mit dem Bauchnabel am Haken springen → dann mit den Knien → dann mit den Füßen am Haken. Größere Stürze sind beim Sportklettern die Ausnahme, mehr ist meist nicht nötig.<br><br>2–3 Routen mit je 2–3 Stürzen.","Guter Sicherer ist unverzichtbar: Seil leicht durchhängen lassen, keinen Zug einziehen, Sturz normal abfangen",false
film-im-kopf,Film im Kopf,Kletterhalle / Boulderhalle,lila,,,30–60 min,"Verbesserung der mentalen Vorstellung von Bewegungsabläufen.<br><br>Zum Erlernen zunächst kurze Passagen oder Boulder wählen. Sobald die Technik sitzt, auf komplette Routen anwenden.<br><br><strong>Ablauf:</strong> Route oder Boulder klettern und Züge einprägen. Danach an einem ruhigen Ort die einzelnen Züge laut aussprechen – nicht nur Griffpositionen, sondern auch Empfindungen: „Vorsicht, rutschiger Griff"" oder „Klemmt super ab, durchatmen"".<br><br>Den Bewegungsablauf im Geiste mehrfach durchklettern:<br>• In Worten<br>• Indem man sich selbst sieht<br>• Indem man spürt, wie man klettert<br><br>Die Route dann mental durchklettern und die Zeit messen. Je besser das Vorstellen, desto genauer trifft die gedachte die reale Kletterzeit.",Zur Kontrolle: gedachte und reale Zeit vergleichen; kann auch für Projektrouten genutzt werden,false
last-minute-com,Last Minute.com,Boulderhalle,gelb,,,30–60 min,"Spezielle Wettkampfvorbereitung: in der Wettkampfsituation schnell auf ein neues Problem umschalten lernen. 4–8 Boulder von mittel bis etwas schwer definieren (onsight oder in 1–2 Versuchen kletterbar). Jeden Boulder genau markieren (Start, Ende, alle Griffe). Ablauf: 2 min lesen (Boulder nicht probieren) → 4 min klettern. Ohne Pause direkt weiter zum nächsten.",Interessant: mit der Schwierigkeit je nach Ermüdung spielen; nächsten Boulder angehen ohne an Erfolg/Misserfolg des vorherigen zu denken,true
1-versuch-je-minute,1 Versuch je Minute,Boulderhalle,gelb,,,90 min,Umfangbetontes Bouldertraining das eine wettkampfähnliche Belastung simuliert. 6 mittelschwere Boulder definieren. Jede Minute einen Versuch in einem Boulder machen (Zeit wird angesagt). Nach jedem Boulder 6 min Pause (Partner klettert). Dann weiter zum nächsten Boulder. Ziel: möglichst viele Griffe/Züge klettern.,Boulder mit geringem Verletzungspotenzial wählen; Anzahl der Boulder und Pausenzeiten kann variiert werden (4×4; 5×5),true
probewettkampf,Probewettkampf,Kletterhalle,gelb|rot,,,90–120 min,"Mentale und physische Vorbereitung auf die Wettkampfsituation. 2 Routen nah am Rotpunktmaximum wählen (eine bereits geklettert, eine noch nicht, aber nah am Durchstieg). Feste Kletterzeiten festlegen (z. B. Aufwärmen 17:00, Route 1 18:30, Route 2 19:15). Timing strikt einhalten. Nach einem Sturz sofort ablassen – auch am Anfang der Route.",Es gibt nur je einen Versuch; alles ist von außen vorgegeben wie im Wettkampf – mit dieser Situation umgehen lernen,true
wettkampf-simulation-flash-onsight,Wettkampf-Simulation Flash/Onsight,Kletterhalle,gelb|rot,,,90–150 min,"Unmittelbare Vorbereitung auf einen Lead-Wettkampf. 2 Routen wählen: eine nah am Flashlimit (Quali), eine knapp über dem Onsight-Limit (Finale). Kletterzeiten festlegen wie im echten Wettkampf inkl. Besichtigungszeit (6 min). Nach Sturz sofort ablassen. Schwierigkeit bewusst unterschiedlich: Route 1 muss unbedingt geschafft werden; Route 2 ist kaum zu toppen, möglichst gute Höhe erzielen.",Aufwärmen und Besichtigung wie beim echten Wettkampf durchführen,true
boulderjagd,Boulderjagd,Boulderhalle,gelb,,,30–60 min,"Kraftausdauer, taktisches Verhalten und Selbsteinschätzung trainieren. Voraussetzung: Boulderhalle mit klar definierten Schwierigkeitsgraden, mehrere ähnlich starke Kletterer. Zeit festlegen (30–45 min). Kletterer sammeln so viele Boulder wie möglich; Punkte nach Schwierigkeit: sehr leicht +2/–1, leicht +4/–2, mittel +8/–4, schwer +12/–6, sehr schwer +20/–10. Kein Boulder darf zweimal geklettert werden.","Kluges taktisches Verhalten nötig: Boulder geschickt auswählen, konzentriert angehen, mit Ermüdung umgehen",true
der-joker,Der Joker,Boulderhalle,gelb,,,40–90 min,"Kraftausdauer verbessern und mit Fehlern umgehen. 3–5 schwierige Boulder (in 3–5 Versuchen kletterbar, 5–15 Züge) und einen leichten anstrengenden Boulder definieren. Gesamtzeit festlegen (15–45 min). Bei einem Sturz in einem schwierigen Boulder muss der leichte „Joker""-Boulder einmal geklettert werden. Nach jedem Versuch den Boulder wechseln. Ziel: am Ende möglichst viele schwierige Boulder geschafft haben.",Psychisch sehr nah an der Wettkampfbelastung; Schwierigkeit und Länge der Boulder gut auswählen,true
abschirmen-gegen-konditionellen-druck,Abschirmen gegen konditionellen Druck,Boulderhalle,gelb,,,60–90 min,"Unter Ermüdung klettern und dabei die Technik beibehalten – schult auch die anaerobe Kraftausdauer. 6–10 Boulder (5–10 Züge), die gerade noch sicher geklettert werden können. Zwischen den Bouldern genau 2 min Pause. Auf korrekte Technik achten. Bei Sturz wird der Boulder von diesem Zug ab noch zu Ende geklettert. 2–3 Durchgänge mit je 20 min Pause.",Pausen exakt einhalten; es geht nicht ums Boulder-schaffen sondern ums Umgehen mit dem Druck durch zunehmende Ermüdung,true
der-drittelboulder,Der Drittelboulder,Boulderhalle,gelb,,,60–90 min,"Kraftausdauer und Willenskraft beim Bouldern; dient auch der Wettkampfvorbereitung. 6–8 bekannte Boulder wählen (anstrengend bis schwer, aber noch einigermaßen sicher). Ablauf je Boulder: erstes Drittel klettern → nachchalken (30 sek) → zweites Drittel → nachchalken (30 sek) → ganzen Boulder klettern. Nach jedem Boulder 5–8 min Pause.",Simuliert Wettkampfbelastungen; schult psychische Härte beim wiederholten Klettern der gleichen Züge,true
boulderrausch,Boulderrausch,Boulderhalle,gelb,,,30–60 min,"Kraftausdauer trainieren – Energiereserven erhöhen, mehr Züge ohne vollständige Pause klettern. Vor allem als Vorbereitung für Boulderwettkämpfe geeignet. 8–10 mittelschwere bekannte Boulder (5–8 Züge, sicher kletterbar) bilden 1 Satz. Zwischen den Bouldern unvollständige Pause (2–3 min). Nach dem Satz vollständige Pause (10–15 min). 1–2 weitere Sätze.","Alle Boulder sollten geschafft werden; „unvollständige Pause"" = nicht 100% erholt wenn nächster Versuch beginnt",true
ropegun,Ropegun,Kletterhalle,grün,,,60–90 min,"Ausdauer beim Routenklettern verbessern – einfach weiterklettern auch wenn die Unterarme brennen. Variante 1: 3–5 Routen (1 Satz) je 1–1,5 Schwierigkeitsgrade unter Rotpunktgrenze, 2–3 min Pause zwischen Routen. Danach wiederholen. Variante 2: Route auf und ab klettern bis man herausfällt, vollständige Pause (~8–10 min), 3 Sätze je Person.",Möglichst viele Routen bereits kennen; bei knappem Durchstieg einen Schummelgriff/-tritt erlauben,true
der-gladiator,Der Gladiator,Boulderhalle,gelb|rot,,,35–90 min,Maximalkraft verbessern und einem anderen Kletterrhythmus folgen. Duelle aus ähnlich starken Kletterern. Beide Kletterer mit einem 4–5 m langen Seil/Gummiband verbunden – zweiter muss sich dem Tempo des ersten anpassen und exakt die gleichen Griffe klettern. Duell endet wenn einer stürzt oder der Vordere das Seil deutlich spannt. 10–15 min Pause; 4–6 Duelle gesamt.,Vorsteiger kann Sturz des zweiten durch Tempo-Variation und Griffauswahl provozieren,true
am-limit,Am Limit,Kletterhalle,gelb|rot,,,120–180 min,"Anaerobe Kraftausdauer und das Klettern schwerer Züge mit Vorermüdung schulen. Bekannte Routen mit mindestens 20 Zügen suchen, die gerade noch durchstiegen werden können. Etwa 2 solcher Routen hintereinander durchsteigen, dann Partnerwechsel, 10–15 min Pause. 4–5 Serien.","Taktisches Wissen anwenden (Atmung, Bewegungsgefühl); Route bis zum Ende klettern – notfalls Zusatzgriff/-tritt nutzen",true
von-crux-zu-crux,Von Crux zu Crux,Boulderhalle,gelb|rot,,,90–160 min,Anaerobe Kraftausdauer und schwere Züge mit Vorermüdung. An 2–3 weit auseinander liegenden Stellen je einen schweren Zug definieren (Griffarten und Zugarten variieren). Diese Schlüsselzüge mit leichteren Passagen zu einem zusammenhängenden Boulder (20–30 Züge) verbinden. 2–3 Versuche mit 5–10 min Pause. 3–4 solcher Boulder gesamt.,"Schwierigkeit der Züge so wählen, dass sie nach Vorermüdung gerade noch machbar sind",true
60-minuten-gegen-die-stoppuhr,60 Minuten gegen die Stoppuhr,Boulderhalle,gelb,,,50–90 min,"Kraftausdauer verbessern und schnell Züge analysieren/umsetzen. 6 Boulder (4–8 Züge, mittelschwer: bei 4 von 5 Versuchen kletterbar) definieren. Einen Punkt 10–15 m entfernt markieren. Boulder klettern, zur Markierung laufen, weiter. Bei Sturz: zur Markierung und erneut versuchen. Ziel: alle 6 Boulder so schnell wie möglich. Zeit stoppen. 4–6 Durchgänge mit 6 min Pause.",Intensives Intervalltraining mit hohen technischen und kognitiven Anforderungen kombiniert,true
selbstgesprach,Selbstgespräch,Kletterhalle,lila,,,60 min,"Den inneren Dialog kennenlernen und positiv umformulieren. Schritt 1: Eine leichte und eine schwere Route klettern; danach das Selbstgespräch während des Kletterns notieren (wie war es als es lief, bei Problemen, wenn man nicht mehr wusste wie weiter?). Schritt 2: Aus den positiven Selbstgesprächen eine kurze positive Formel entwickeln (mit „Ich"" und positiven Formulierungen). Schritt 3: Formeln beim Klettern testen.",Die Gespräche müssen tatsächlich aufgeschrieben werden,true
getraumt-oder-wahr,Geträumt oder wahr?,Kletterhalle,lila,,,ca. 20 min,"Vorstellungsvermögen schulen und vorgestellte Begehung mit der Realität vergleichen. Eine Route wählen, die unter Anstrengung noch sicher geschafft wird. Nach intensiver Besichtigung: von der Wand wegdrehen, Augen schließen, Route gedanklich durchsteigen – alle Bewegungen, Clips und Sinneseindrücke imitieren (Wie fühlen sich Griffe/Züge an? Was höre ich? Wie sehr strenge ich mich an?). Bei gedanklichem Einstieg „Los"" sagen, bei oben „Fertig"" – Zeit stoppen. Dann wirklich einsteigen und Zeit erneut stoppen. Ziel: Zeiten angleichen.",Auf Unterschiede zwischen echten und imaginären Sinneseindrücken achten; kann auch als Bouldern durchgeführt werden,true
pacing,Pacing,Kletterhalle,lila,fluessiger-klettern,Flüssiger Klettern,30–60 min,"Persönliche Klettergeschwindigkeit überprüfen und optimieren. Route oder Boulder (15–20 Züge) suchen. Einmal in einem Zuge ohne Pause klettern. Einmal mit 2–4 Ruhepunkten klettern. Welche Methode war besser – oder ein Mix? Außerdem: Route zweimal klettern – einmal mit, einmal ohne Chalkbeutel; überprüfen wo Chalken tatsächlich etwas bringt.","Kombination mit „Film im Kopf"" möglich; immer: angemessen chalken",true
speedbouldern,Speedbouldern,Boulderhalle,lila,,,30 min,"Klettergeschwindigkeit verbessern und Vorstellung von Bewegungsabläufen schulen. 2–3 Kletterer; gemeinsam Start- und Zielgriff definieren (restliche Griffe frei, 4–6 Züge). Den schnellsten Bewegungsablauf mehrfach im Geiste durchgehen. Dann wegdrehen: Partner stoppt gedachte Kletterzeit bis „Stopp"" gesagt wird. Danach wirklich klettern (Zeit stoppen) und beide Zeiten vergleichen – sie sollen sich annähern. 2–3 Boulder je 5-mal klettern.",Variiere Routen regelmäßig um sich nicht zu sehr an den Bewegungsablauf zu gewöhnen,true
viele-tops,Viele TOPs,Kletterhalle,gelb|lila,fluessiger-klettern,Flüssiger Klettern,60–90 min,"Kletterablauf mit typischen Wettkampfsituationen neu organisieren und Kraftausdauer verbessern. Route ca. 1/3–2/3 Grade unter der Onsightgrenze wählen. Route 3–4-mal mit je 10 min Pause klettern. Beim Klettern werden vom Sicherer zufällig Zusatzaufgaben zugerufen: TOP Abklettern (4 m absteigen), TOP Füße in die Luft (2 sek), TOP Ruhen (30 sek in aktueller Stellung), TOP Griffwechsel, TOP Einfrieren (10 sek). Abschließend die Route einmal ohne Zusatzaufgaben.",Die TOPs beinhalten Dinge die bei der Begehung einer Route auftreten können,true
atmung-beim-routenklettern,Atmung beim Routenklettern,Kletterhalle / Boulderhalle,lila,,,60–120 min,"Atmung der Klettersituation anpassen lernen. Beim Bouldern: Vor jedem Einsteigen bewusst auf „Ausatmen"" oder „ruhig atmen"" konzentrieren; unmittelbar nach dem Klettern Atmung prüfen. Beim Routenklettern: 2–4 Ruhepunkte festlegen, an denen man sich während des Kletterns auf die Atmung konzentriert; vor dem Einsteigen „Weiteratmen""; an Ruhepunkten bewusst bei jedem Atemzug die Schultern fallen lassen.","Kletterer soll wissen: es geht ums Atmen, nicht ums Ankommen oben",true
